Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2011,1,"1,1","1,2","1,3","1,5","1,6","1,8",2,2,"2,1","2,2","2,2","1,7","1,3",2
2012,"2,3","2,2","2,3","2,3","2,3","2,2","2,1","1,9",2,2,"1,9","1,9","2,1","2,2",2
2013,"1,9",2,"1,9","1,7","1,7","1,6","1,7","1,8","1,7","1,7","1,7","1,7","1,8","1,8","1,7"
2014,"1,6","1,6","1,7","1,8",2,"1,9","1,9","1,7","1,7","1,8","1,7","1,6","1,7","1,8","1,7"
2015,"1,6","1,7","1,8","1,8","1,7","1,8","1,8","1,8","1,9","1,9",2,"2,1","1,8","1,7","1,9"
2016,"2,2","2,3","2,2","2,1","2,2","2,2","2,2","2,3","2,2","2,1","2,1","2,2","2,2","2,2","2,2"
2017,"2,3","2,2",2,"1,9","1,7","1,7","1,7","1,7","1,7","1,8","1,7","1,8","1,8",2,"1,7"
2018,"1,8","1,8","2,1","2,1","2,2","2,3","2,4","2,2","2,2","2,1","2,2","2,2","2,1","2,1","2,2"
2019,"2,2","2,1",2,"2,1",2,"2,1","2,2","2,4","2,4","2,3","2,3","2,3","2,2","2,1","2,3"
2020,"2,3","2,4","2,1","1,4","1,2","1,2","1,6","1,7","1,7","1,6","1,6","1,6","1,7","1,8","1,6"
2021,"1,4","1,3","1,6",3,"3,8","4,5","4,3",4,4,"4,6","4,9","5,5","3,6","2,6","4,5"
2022,6,"6,4","6,5","6,2",6,"5,9","5,9","6,3","6,6","6,3",6,"5,7","6,2","6,2","6,1"
2023,"5,6","5,5","5,6","5,5","5,3","4,8","4,7","4,3","4,1",4,4,"3,9","4,8","5,4","4,2"
2024,"3,9","3,8","3,8","3,6","3,4","3,3","3,2","3,2","3,3","3,3",,,"3,5","3,6",
